2024-09-16-16-10: epoch: 1 |tot 5.276901 | hm 2.157022 | wh 13.234519 | reg 0.268061 | ltrb_amodal 8.047451 | tracking 0.723621 | time 9.200000 | 
2024-09-16-16-19: epoch: 2 |tot 4.144778 | hm 1.876179 | wh 7.856176 | reg 0.253677 | ltrb_amodal 5.313191 | tracking 0.697986 | time 9.066667 | 
2024-09-16-16-28: epoch: 3 |tot 3.713010 | hm 1.770406 | wh 5.804268 | reg 0.248496 | ltrb_amodal 4.191996 | tracking 0.694482 | time 9.150000 | 
2024-09-16-16-37: epoch: 4 |tot 3.400439 | hm 1.664834 | wh 4.557494 | reg 0.248044 | ltrb_amodal 3.495556 | tracking 0.682257 | time 9.016667 | 
2024-09-16-16-46: epoch: 5 |tot 3.261011 | hm 1.594638 | wh 4.112056 | reg 0.245055 | ltrb_amodal 3.289580 | tracking 0.681154 | time 9.050000 | 
2024-09-16-16-55: epoch: 6 |tot 3.118612 | hm 1.536294 | wh 3.556684 | reg 0.243637 | ltrb_amodal 3.004285 | tracking 0.682585 | time 9.083333 | 
2024-09-16-17-04: epoch: 7 |tot 3.038836 | hm 1.493467 | wh 3.354870 | reg 0.244384 | ltrb_amodal 2.853551 | tracking 0.680143 | time 9.116667 | 
2024-09-16-17-13: epoch: 8 |tot 2.956222 | hm 1.451318 | wh 3.078034 | reg 0.244519 | ltrb_amodal 2.716180 | tracking 0.680963 | time 9.066667 | 
2024-09-16-17-22: epoch: 9 |tot 2.866623 | hm 1.405286 | wh 2.865172 | reg 0.242391 | ltrb_amodal 2.583299 | tracking 0.674099 | time 9.116667 | 
2024-09-16-17-32: epoch: 10 |tot 2.778530 | hm 1.355856 | wh 2.683619 | reg 0.241676 | ltrb_amodal 2.429510 | tracking 0.669685 | time 9.066667 | 
2024-09-16-17-41: epoch: 11 |tot 2.698185 | hm 1.315194 | wh 2.412723 | reg 0.240713 | ltrb_amodal 2.275506 | tracking 0.673456 | time 9.083333 | 
2024-09-16-17-50: epoch: 12 |tot 2.656998 | hm 1.275287 | wh 2.436537 | reg 0.239700 | ltrb_amodal 2.310230 | tracking 0.667334 | time 9.100000 | 
2024-09-16-17-59: epoch: 13 |tot 2.595381 | hm 1.239431 | wh 2.269051 | reg 0.239918 | ltrb_amodal 2.230598 | tracking 0.666067 | time 9.083333 | 
2024-09-16-18-08: epoch: 14 |tot 2.519164 | hm 1.195265 | wh 2.177016 | reg 0.238030 | ltrb_amodal 2.120486 | tracking 0.656119 | time 9.116667 | 
2024-09-16-18-17: epoch: 15 |tot 2.493106 | hm 1.168893 | wh 2.142137 | reg 0.238424 | ltrb_amodal 2.040139 | tracking 0.667562 | time 9.083333 | 
2024-09-16-18-26: epoch: 16 |tot 2.386768 | hm 1.115521 | wh 1.954987 | reg 0.236568 | ltrb_amodal 1.872105 | tracking 0.651970 | time 9.116667 | 
2024-09-16-18-35: epoch: 17 |tot 2.365017 | hm 1.084484 | wh 1.922169 | reg 0.236564 | ltrb_amodal 1.873514 | tracking 0.664400 | time 9.116667 | 
2024-09-16-18-45: epoch: 18 |tot 2.326957 | hm 1.057131 | wh 1.871879 | reg 0.235304 | ltrb_amodal 1.802190 | tracking 0.667116 | time 9.133333 | 
